date,time,tec
16-01-2001,21:00:00,20.5
16-01-2001,23:00:00,14.7
17-01-2001,01:00:00,10.5
17-01-2001,03:00:00,27
17-01-2001,05:00:00,38.3
17-01-2001,07:00:00,54
17-01-2001,09:00:00,69.1
17-01-2001,11:00:00,78.7
17-01-2001,13:00:00,65.3
17-01-2001,15:00:00,49.2
17-01-2001,17:00:00,41.3
17-01-2001,19:00:00,25
17-01-2001,21:00:00,19.5
17-01-2001,23:00:00,13.6
18-01-2001,01:00:00,10
18-01-2001,03:00:00,27.1
18-01-2001,05:00:00,42.4
18-01-2001,07:00:00,57
18-01-2001,09:00:00,73.7
18-01-2001,11:00:00,83.6
18-01-2001,13:00:00,71.7
18-01-2001,15:00:00,57.7
18-01-2001,17:00:00,44.6
18-01-2001,19:00:00,24.9
18-01-2001,21:00:00,18
18-01-2001,23:00:00,12
